Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Cost
0.37,9.0,4.0,117.0,Aluminium,6.3,24.71,Yes,Yes,No,Airways,No,Wealthy,Yes,256.71
0.9,28.0,14.0,246.0,Wood,3.11,14.95,No,No,Yes,Roadways,No,Working Class,No,580.17
0.99,4.0,4.0,96.0,,3.51,12.24,No,No,No,Airways,No,Wealthy,Yes,231.08
0.49,29.0,8.0,3102.0,Aluminium,7.06,19.09,No,No,No,Roadways,No,Working Class,No,293.48
0.79,12.0,6.0,2218.0,Brass,9.03,20.58,Yes,No,Yes,,No,Working Class,,1652.56
0.8,33.0,17.0,1142570.0,Marble,1751.41,86.49,No,Yes,No,Airways,No,Working Class,No,13630.9
0.55,9.0,5.0,215.0,Clay,6.68,14.59,No,Yes,Yes,Airways,Yes,Working Class,No,258.07
0.78,18.0,9.0,240539.0,Stone,1275.06,62.45,No,Yes,No,Airways,No,Working Class,Yes,5586.58
0.93,20.0,8.0,649.0,Aluminium,4.85,24.78,Yes,No,Yes,Waterways,No,Working Class,No,747.42
0.62,5.0,5.0,251.0,Bronze,4.69,11.16,No,Yes,No,Roadways,No,Working Class,,172.94
0.13,31.0,12.0,338703.0,Marble,179.03,25.76,No,No,No,Roadways,No,Working Class,,-655.22
0.65,31.0,12.0,4475.0,Clay,27.1,24.77,No,No,No,Roadways,Yes,Working Class,No,-569.38
0.12,6.0,5.0,2420.0,Marble,4.33,16.69,No,Yes,No,Roadways,No,Wealthy,No,189.77
0.52,17.0,9.0,114716.0,Marble,292.86,32.27,Yes,No,Yes,Airways,No,Working Class,No,1396.08
0.28,13.0,7.0,359.0,Aluminium,3.86,16.55,No,Yes,Yes,,No,Working Class,No,156.77
0.05,6.0,5.0,60.0,Aluminium,4.53,14.33,Yes,No,Yes,Waterways,No,Wealthy,No,126.15
0.54,20.0,7.0,126426.0,Stone,446.67,40.92,No,Yes,No,Airways,No,Wealthy,No,4148.48
0.65,41.0,10.0,508.0,Wood,6.27,14.81,No,No,Yes,Roadways,No,Working Class,No,426.78
0.96,27.0,7.0,3102.0,Stone,1524.16,79.77,No,No,No,,No,Wealthy,,7022.45
0.02,14.0,8.0,64235.0,,26.62,90.7,No,No,Yes,Roadways,No,Working Class,No,530.57
0.31,42.0,17.0,3628805.0,Marble,9308.65,61.24,No,No,No,Roadways,Yes,Working Class,No,70599.93
0.2,28.0,13.0,1373.0,Aluminium,5.64,13.35,No,No,Yes,,No,Working Class,No,153.35
0.81,26.0,19.0,2564.0,Aluminium,9.51,24.32,No,No,No,Waterways,No,Wealthy,No,2117.42
0.83,14.0,7.0,1175.0,Clay,5.16,13.17,No,Yes,Yes,Airways,Yes,Wealthy,No,645.47
0.58,6.0,5.0,51.0,Wood,3.16,19.03,No,No,Yes,Airways,No,Working Class,No,194.78
0.09,24.0,8.0,8290.0,Bronze,7.23,98.58,Yes,No,No,Waterways,No,Working Class,Yes,555.11
0.36,18.0,6.0,5881.0,Brass,14.1,65.31,No,No,Yes,,No,Working Class,,520.23
0.22,32.0,16.0,3102.0,Clay,12.26,73.94,No,No,No,Roadways,Yes,Working Class,No,527.19
0.45,17.0,8.0,1118.0,,7.52,18.1,No,Yes,Yes,Roadways,Yes,Working Class,,919.77
0.47,35.0,14.0,3398653.0,Stone,7870.75,65.99,Yes,No,No,Airways,No,Working Class,No,91767.44
0.7,26.0,12.0,4091.0,,20.65,22.84,Yes,Yes,Yes,Airways,Yes,Working Class,No,892.29
0.64,41.0,7.0,11101.0,Bronze,38.27,35.38,No,Yes,No,,No,Working Class,No,872.35
0.74,31.0,6.0,3277.0,Bronze,30.92,16.55,Yes,No,No,Waterways,No,Working Class,,613.91
0.64,15.0,8.0,155.0,Wood,4.15,20.99,Yes,No,No,,No,Wealthy,No,346.8
0.07,20.0,10.0,13465.0,Brass,8.95,75.75,Yes,No,No,Roadways,No,Working Class,No,494.2
0.45,25.0,8.0,8230.0,Brass,85.64,48.33,No,Yes,No,,No,Working Class,Yes,7402.07
0.2,19.0,8.0,5202.0,Bronze,11.91,40.62,Yes,No,No,Roadways,No,Working Class,No,336.57
0.37,27.0,13.0,815888.0,Marble,3971.26,34.42,No,No,No,Waterways,No,Working Class,Yes,6656.64
0.07,4.0,3.0,417.0,Marble,6.93,21.67,No,Yes,No,,No,Working Class,No,215.08
0.45,20.0,8.0,76584.0,Brass,272.51,45.12,Yes,Yes,No,,No,Working Class,No,2233.7
0.45,3.0,2.0,13.0,Clay,3.02,22.39,Yes,No,No,Roadways,Yes,Working Class,No,-190.7
0.92,6.0,5.0,1791.0,Marble,26449.075496033776,19.92,No,No,Yes,Roadways,No,Working Class,No,655.21
0.04,5.0,3.0,445.0,Stone,3.27,11.92,No,No,No,Roadways,No,Working Class,,155.96
0.35,20.0,10.0,966.0,,4.31,14.74,Yes,No,No,Roadways,No,Working Class,,192.15
0.66,9.0,5.0,184.0,Aluminium,6.9,10.48,No,No,No,Roadways,No,Working Class,No,-244.61
0.76,13.0,6.0,139.0,Aluminium,6.76,17.8,No,No,No,Waterways,No,Working Class,No,392.53
0.51,7.0,4.0,1483.0,Marble,6.36,17.95,No,No,Yes,Roadways,No,Working Class,No,267.95
0.09,10.0,4.0,5629.0,Marble,6.74,54.75,No,Yes,No,Airways,No,Working Class,No,321.15
0.36,11.0,7.0,35050.0,Stone,116.58,50.03,No,No,No,Roadways,No,Working Class,No,635.85
0.45,18.0,8.0,3973.0,Bronze,4.59,18.5,No,No,Yes,,No,Working Class,,350.01
0.93,19.0,6.0,117141.0,Stone,1123.45,61.58,Yes,No,No,Waterways,No,Working Class,No,3806.62
0.73,12.0,6.0,1758.0,Brass,6.77,22.75,Yes,No,No,Waterways,No,Wealthy,No,486.85
0.19,19.0,8.0,4294.0,,5.87,11.99,Yes,No,Yes,,No,Working Class,,190.59
0.1,20.0,10.0,717.0,Aluminium,5.93,19.12,No,No,No,Roadways,No,Working Class,,-129.89
0.94,5.0,5.0,62.0,Wood,6.17,23.53,No,Yes,No,Roadways,No,Working Class,No,561.98
0.33,4.0,4.0,64.0,Clay,5.06,20.08,No,Yes,No,Roadways,Yes,Wealthy,Yes,220.75
0.12,23.0,7.0,3102.0,,5.68,11.69,No,No,No,Roadways,No,Working Class,No,113.98
0.21,16.0,6.0,4692.0,Brass,12.86,22.15,Yes,No,No,Waterways,No,Working Class,,206.01
0.91,11.0,8.0,1054.0,Clay,7.82,23.68,No,No,Yes,Roadways,Yes,Wealthy,No,1177.01
0.28,40.0,25.0,5480.0,Aluminium,4.31,93.6,Yes,Yes,No,Airways,No,Working Class,No,782.69
